Year,State,Category,Total,Average,Count
2008,NJ,Medical & Personal,158049,4789.36363636,33
2008,NJ,Other/NA,106259,3664.10344828,29
2008,NJ,Student,42700,4744.44444444,9
2008,NM,Auto & Home,8201,2733.66666667,3
2008,NM,Business,20501,5125.25,4
2008,NM,Debt,184260,7086.92307692,26
2008,NM,Medical & Personal,38200,2938.46153846,13
2008,NM,Other/NA,33000,5500.0,6
2008,NM,Student,7500,7500.0,1
2008,NV,Auto & Home,30000,7500.0,4
2008,NV,Business,91800,11475.0,8
2008,NV,Debt,183800,5569.6969697,33
2008,NV,Medical & Personal,42000,4200.0,10
2008,NV,Other/NA,20700,2300.0,9
2008,NV,Student,4000,4000.0,1
2008,NY,Auto & Home,300850,6837.5,44
2008,NY,Business,518935,8108.359375,64
2008,NY,Debt,1170760,5711.02439024,205
2008,NY,Medical & Personal,391279,3952.31313131,99
2008,NY,Other/NA,320881,4718.83823529,68
2008,NY,Student,113999,5181.77272727,22
2008,OH,Auto & Home,282024,5127.70909091,55
2008,OH,Business,466140,8036.89655172,58
2008,OH,Debt,1379976,6052.52631579,228
2008,OH,Medical & Personal,281399,3702.61842105,76
2008,OH,Other/NA,214083,5221.53658537,41
2008,OH,Student,60600,3189.47368421,19
2008,OK,Auto & Home,58380,3648.75,16
2008,OK,Business,32200,3577.77777778,9
2008,OK,Debt,294990,5086.03448276,58
2008,OK,Medical & Personal,77590,3373.47826087,23
2008,OK,Other/NA,46179,3552.23076923,13
2008,OK,Student,18400,6133.33333333,3
2008,OR,Auto & Home,122370,6798.33333333,18
2008,OR,Business,280480,7012.0,40
2008,OR,Debt,605277,5604.41666667,108
2008,OR,Medical & Personal,206545,3623.59649123,57
2008,OR,Other/NA,96899,4213.0,23
2008,OR,Student,18250,2281.25,8
2008,PA,Auto & Home,107100,5100.0,21
2008,PA,Business,305150,7824.35897436,39
2008,PA,Debt,669163,5768.64655172,116
2008,PA,Medical & Personal,206231,3682.69642857,56
2008,PA,Other/NA,99824,2936.0,34
2008,PA,Student,36400,3309.09090909,11
2008,RI,Auto & Home,6500,2166.66666667,3
2008,RI,Business,16821,5607.0,3
2008,RI,Debt,55000,5000.0,11
2008,RI,Medical & Personal,11850,2370.0,5
2008,RI,Other/NA,3500,1750.0,2
2008,RI,Student,1200,1200.0,1
2008,SC,Auto & Home,86500,10812.5,8
2008,SC,Business,104200,7442.85714286,14
2008,SC,Debt,226583,5526.41463415,41
2008,SC,Medical & Personal,35100,3190.90909091,11
2008,SC,Other/NA,50400,4200.0,12
2008,SC,Student,38799,4849.875,8
2008,TN,Auto & Home,49000,7000.0,7
2008,TN,Business,172750,8226.19047619,21
2008,TN,Debt,369345,4859.80263158,76
2008,TN,Medical & Personal,160000,4705.88235294,34
2008,TN,Other/NA,78100,3550.0,22
2008,TN,Student,27400,4566.66666667,6
2008,TX,Auto & Home,113421,5671.05,20
2008,TX,Business,824896,7499.05454545,110
2008,TX,Debt,164809,5683.06896552,29
2008,TX,Medical & Personal,92908,5161.55555556,18
2008,TX,Other/NA,45900,3825.0,12
2008,TX,Student,1500,1500.0,1
2008,UT,Auto & Home,52100,5210.0,10
